ensembl_id,found,gene_symbol,full_name,uniprot,GO_biological_process,GO_molecular_function,GO_cellular_component,kegg_pathways,reactome_pathways,omim,subcellular_location,pfam_domains,summary,atp_impact_pct,complex,category
ENSMUSG00000020153,True,Ndufs7,NADH:ubiquinone oxidoreductase core subunit S7,Q9DC70,"mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; aerobic respiration",protease binding; NADH dehydrogenase activity; NADH dehydrogenase activity; NADH dehydrogenase activity; monooxygenase activity,mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF01058,,85.1467,Complex I,CI structural
ENSMUSG00000037916,True,Ndufv1,NADH:ubiquinone oxidoreductase core subunit V1,Q91YT0,"mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; aerobic respiration",protein binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; FMN binding,mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF01512; PF10589; PF22461,"This gene encodes a subunit of the NADH-ubiquinone oxidoreductase (complex I) enzyme, which is a large, multimeric protein. It is the first enzyme complex in the mitochondrial electron transport chain and catalyzes the transfer of electrons from NADH to the electron acceptor ubiquinone. The proton g",85.1467,Complex I,CI structural
ENSMUSG00000025968,True,Ndufs1,NADH:ubiquinone oxidoreductase core subunit S1,Q91VD9,"mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; mitochondrial respiratory chain complex I assembly; mitochondrial respiratory chain complex I assembly",protein binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF13510; PF22117; PF00384,,85.1467,Complex I,CI assembly factor
ENSMUSG00000021606,True,Ndufs6,NADH:ubiquinone oxidoreductase core subunit S6,P52503,"kidney development; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; fatty acid metabolic process; muscle contraction",molecular_function,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF10276,,85.1467,Complex I,CI structural
ENSMUSG00000020022,True,Ndufa12,NADH:ubiquinone oxidoreductase subunit A12,Q7TMF3,aerobic respiration; mitochondrial ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; proton motive force-driven mitochondrial ATP synthesis,molecular_function,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF05071,,85.1467,Complex I,CI structural
ENSMUSG00000026260,True,Ndufa10,NADH:ubiquinone oxidoreductase subunit A10,Q99LC3,"mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; proton motive force-driven mitochondrial ATP synthesis",NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity,cytoplasm; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF01712,,85.1467,Complex I,CI structural
ENSMUSG00000023089,True,Ndufa5,NADH:ubiquinone oxidoreductase subunit A5,Q9CPP6,aerobic respiration; respiratory electron transport chain; respiratory electron transport chain; respiratory electron transport chain; proton motive force-driven mitochondrial ATP synthesis,,mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane; protein-containing complex,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Signal Transduction,,,PF04716,,85.1467,Complex I,CI structural
ENSMUSG00000113902,True,Ndufb1,NADH:ubiquinone oxidoreductase subunit B1,P0DN34,aerobic respiration; proton motive force-driven mitochondrial ATP synthesis,,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,,Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF08040,,85.1467,Complex I,CI structural
ENSMUSG00000014294,True,Ndufa2,NADH:ubiquinone oxidoreductase subunit A2,Q9CQ75,blastocyst hatching; aerobic respiration; proton motive force-driven mitochondrial ATP synthesis; proton transmembrane transport,NADH dehydrogenase (ubiquinone) activity,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF05047,"This gene encodes a subunit of the NADH-ubiquinone oxidoreductase (complex I) enzyme, which is a large, multimeric protein. It is the first enzyme complex in the mitochondrial electron transport chain and catalyzes the transfer of electrons from NADH to the electron acceptor ubiquinone. The proton g",85.1467,Complex I,CI structural
ENSMUSG00000028648,True,Ndufs5,NADH:ubiquinone oxidoreductase core subunit S5,Q99LY9,aerobic respiration; mitochondrial respiratory chain complex I assembly; mitochondrial respiratory chain complex I assembly; mitochondrial respiratory chain complex I assembly; proton motive force-driven mitochondrial ATP synthesis,molecular_function,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF10200,,85.1467,Complex I,CI assembly factor
ENSMUSG00000022354,True,Ndufb9,NADH:ubiquinone oxidoreductase subunit B9,Q9CQJ8,"mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; proton motive force-driven mitochondrial ATP synthesis",,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF05347,,85.1467,Complex I,CI structural
ENSMUSG00000026895,True,Ndufa8,NADH:ubiquinone oxidoreductase subunit A8,Q9DCJ5,"mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; proton motive force-driven mitochondrial ATP synthesis",protein-containing complex binding; protein-containing complex binding,mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF06747,,85.1467,Complex I,CI structural
ENSMUSG00000036199,True,Ndufa13,NADH:ubiquinone oxidoreductase subunit A13,Q9ERS2,aerobic respiration; mitochondrial respiratory chain complex I assembly; mitochondrial respiratory chain complex I assembly; cellular response to interferon-beta; cellular response to interferon-beta,ATP binding,nucleus; nucleus; nucleoplasm; nucleoplasm; nucleoplasm,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF06212,,85.1467,Complex I,CI assembly factor
ENSMUSG00000022820,True,Ndufb4,NADH:ubiquinone oxidoreductase subunit B4,Q9CQC7,aerobic respiration; proton motive force-driven mitochondrial ATP synthesis,molecular_function,nucleoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF07225,,85.1467,Complex I,CI structural
ENSMUSG00000027673,True,Ndufb5,NADH:ubiquinone oxidoreductase subunit B5,Q9CQH3,aerobic respiration; proton motive force-driven mitochondrial ATP synthesis,molecular_function,nucleoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF09781,,85.1467,Complex I,CI structural
ENSMUSG00000022450,True,Ndufa6,NADH:ubiquinone oxidoreductase subunit A6,Q9CQZ5,aerobic respiration; mitochondrial respiratory chain complex I assembly; mitochondrial respiratory chain complex I assembly; mitochondrial respiratory chain complex I assembly; proton motive force-driven mitochondrial ATP synthesis,molecular_function,mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF13233,,85.1467,Complex I,CI assembly factor
ENSMUSG00000002379,True,Ndufa11,NADH:ubiquinone oxidoreductase subunit A11,,"mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; proton motive force-driven mitochondrial ATP synthesis",molecular_function,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; respiratory chain complex I,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),,,,PF02466,,85.1467,Complex I,CI structural
ENSMUSG00000026032,True,Ndufb3,NADH:ubiquinone oxidoreductase subunit B3,Q9CQZ6,aerobic respiration; electron transport chain; proton motive force-driven mitochondrial ATP synthesis,molecular_function,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF08122,,85.1467,Complex I,CI structural
ENSMUSG00000025204,True,Ndufb8,NADH:ubiquinone oxidoreductase subunit B8,Q9D6J5,"mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; proton motive force-driven mitochondrial ATP synthesis",molecular_function,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Mitochondrial protein import; Aerobic respiration and respiratory electron transport; Metabolism,,,PF05821,,85.1467,Complex I,CI structural
ENSMUSG00000040048,True,Ndufb10,NADH:ubiquinone oxidoreductase subunit B10,Q9DCS9,aerobic respiration; proton motive force-driven mitochondrial ATP synthesis,,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF10249,,85.1467,Complex I,CI structural
ENSMUSG00000033938,True,Ndufb7,NADH:ubiquinone oxidoreductase subunit B7,Q9CR61,aerobic respiration; proton motive force-driven mitochondrial ATP synthesis; proton transmembrane transport,molecular_function; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase (ubiquinone) activity,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF05676,,85.1467,Complex I,CI structural
ENSMUSG00000030647,True,Ndufc2,NADH:ubiquinone oxidoreductase subunit C2,Q9CQ54,"mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; positive regulation of mitochondrial membrane potential; positive regulation of mitochondrial membrane potential; mitochondrial respiratory chain complex I assembly",,cytoplasm; cytoplasm; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Innate Immune System,,,PF06374,,85.1467,Complex I,CI assembly factor
ENSMUSG00000002416,True,Ndufb2,NADH:ubiquinone oxidoreductase subunit B2,Q9CPU2,aerobic respiration; proton motive force-driven mitochondrial ATP synthesis,molecular_function,mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane; respiratory chain complex I,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF14813,,85.1467,Complex I,CI structural
ENSMUSG00000041881,True,Ndufa7,NADH:ubiquinone oxidoreductase subunit A7,Q9Z1P6,"mitochondrial electron transport, NADH to ubiquinone; aerobic respiration; ATP synthesis coupled electron transport; proton motive force-driven mitochondrial ATP synthesis",,mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane; respiratory chain complex I,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF07347,"This gene encodes a subunit of the NADH-ubiquinone oxidoreductase (complex I) enzyme, which is a large, multimeric protein. It is the first enzyme complex in the mitochondrial electron transport chain and catalyzes the transfer of electrons from NADH to the electron acceptor ubiquinone. The proton g",85.1467,Complex I,CI structural
ENSMUSG00000035674,True,Ndufa3,NADH:ubiquinone oxidoreductase subunit A3,Q9CQ91,aerobic respiration; proton motive force-driven mitochondrial ATP synthesis,molecular_function,mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse); Retrograde endocannabinoid signaling - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF14987,,85.1467,Complex I,CI structural
ENSMUSG00000020664,True,Dld,dihydrolipoamide dehydrogenase,O08749,pyruvate decarboxylation to acetyl-CoA; pyruvate decarboxylation to acetyl-CoA; pyruvate decarboxylation to acetyl-CoA; pyruvate decarboxylation to acetyl-CoA; pyruvate decarboxylation to acetyl-CoA,dihydrolipoyl dehydrogenase (NADH) activity; dihydrolipoyl dehydrogenase (NADH) activity; dihydrolipoyl dehydrogenase (NADH) activity; dihydrolipoyl dehydrogenase (NADH) activity; dihydrolipoyl dehydrogenase (NADH) activity,acrosomal vesicle; nucleus; nucleus; nucleus; nucleoplasm,"Glycolysis / Gluconeogenesis - Mus musculus (mouse); Citrate cycle (TCA cycle) - Mus musculus (mouse); Glycine, serine and threonine metabolism - Mus musculus (mouse)",Aerobic respiration and respiratory electron transport; Metabolism; Signal Transduction,,,PF02852; PF07992,"This gene encodes a member of the class-I pyridine nucleotide-disulfide oxidoreductase family. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. In homodimeric form, the encoded protein functions as a dehydrogenase a",79.0,Other,Other / non-mitochondrial
ENSMUSG00000004789,True,Dlst,dihydrolipoamide S-succinyltransferase,Q9D2G2,tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle,dihydrolipoyllysine-residue succinyltransferase activity; dihydrolipoyllysine-residue succinyltransferase activity; dihydrolipoyllysine-residue succinyltransferase activity; dihydrolipoyllysine-residue succinyltransferase activity; protein binding,nucleus; nucleus; nucleus; nucleoplasm; nucleoplasm,Citrate cycle (TCA cycle) - Mus musculus (mouse); Lysine degradation - Mus musculus (mouse); Tryptophan metabolism - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Glyoxylate metabolism and glycine degradation,,,PF00198; PF00364,,78.045,Other,Other / non-mitochondrial
ENSMUSG00000020456,True,Ogdh,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),Q60597,generation of precursor metabolites and energy; tricarboxylic acid cycle; tricarboxylic acid cycle; 2-oxoglutarate metabolic process; 2-oxoglutarate metabolic process,oxoglutarate dehydrogenase (succinyl-transferring) activity; oxoglutarate dehydrogenase (succinyl-transferring) activity; oxoglutarate dehydrogenase (succinyl-transferring) activity; oxoglutarate dehydrogenase (succinyl-transferring) activity; oxoglutarate dehydrogenase (succinyl-transferring) activity,nucleus; nucleus; nucleus; mitochondrion; mitochondrion,Citrate cycle (TCA cycle) - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Glyoxylate metabolism and glycine degradation,,,PF00676; PF02779; PF16078,,77.2858,Other,TCA cycle
ENSMUSG00000009863,True,Sdhb,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",Q9CQA3,tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle; succinate metabolic process; succinate metabolic process,succinate dehydrogenase (quinone) activity; succinate dehydrogenase (quinone) activity; succinate dehydrogenase (quinone) activity; succinate dehydrogenase (quinone) activity; electron transfer activity,nucleoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Citrate cycle (TCA cycle) - Mus musculus (mouse); Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Citric acid cycle (TCA cycle),,,PF13085; PF13534,,74.9315,Complex II,CII structural/assembly
ENSMUSG00000021577,True,Sdha,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",Q8K2B3,tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle; succinate metabolic process; succinate metabolic process,succinate dehydrogenase activity; succinate dehydrogenase (quinone) activity; succinate dehydrogenase (quinone) activity; succinate dehydrogenase (quinone) activity; succinate dehydrogenase (quinone) activity,nucleolus; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Citrate cycle (TCA cycle) - Mus musculus (mouse); Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Citric acid cycle (TCA cycle),,,PF00890; PF02910,,74.9315,Complex II,CII structural/assembly
ENSMUSG00000058076,True,Sdhc,"succinate dehydrogenase complex, subunit C, integral membrane protein",Q9CZB0,"tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle; mitochondrial electron transport, succinate to ubiquinone; mitochondrial electron transport, succinate to ubiquinone",succinate dehydrogenase (quinone) activity; electron transfer activity; heme binding,mitochondrion; mitochondrion; mitochondrial inner membrane; mitochondrial inner membrane; mitochondrial inner membrane,Citrate cycle (TCA cycle) - Mus musculus (mouse); Oxidative phosphorylation - Mus musculus (mouse); Thermogenesis - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Citric acid cycle (TCA cycle),,,PF01127,,74.9315,Complex II,CII structural/assembly
ENSMUSG00000019179,True,Mdh2,"malate dehydrogenase 2, NAD (mitochondrial)",P08249,gluconeogenesis; tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle,RNA binding; RNA binding; catalytic activity; oxidoreductase activity; malate dehydrogenase activity,cytoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Citrate cycle (TCA cycle) - Mus musculus (mouse); Cysteine and methionine metabolism - Mus musculus (mouse); Pyruvate metabolism - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF00056; PF02866,,72.9029,Other,TCA cycle
ENSMUSG00000022110,True,Sucla2,"succinate-Coenzyme A ligase, ADP-forming, beta subunit",Q9Z2I9,tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle; tricarboxylic acid cycle; succinyl-CoA metabolic process,magnesium ion binding; catalytic activity; succinate-CoA ligase activity; succinate-CoA ligase (ADP-forming) activity; succinate-CoA ligase (ADP-forming) activity,cytoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrion,Citrate cycle (TCA cycle) - Mus musculus (mouse); Propanoate metabolism - Mus musculus (mouse),Aerobic respiration and respiratory electron transport; Metabolism; Citric acid cycle (TCA cycle),,,PF00549; PF08442,,68.4361,Other,TCA cycle
ENSMUSG00000032047,True,Acat1,acetyl-Coenzyme A acetyltransferase 1,Q8QZT1,liver development; acetyl-CoA biosynthetic process; acetyl-CoA biosynthetic process; L-isoleucine catabolic process; L-isoleucine catabolic process,acetyl-CoA C-acetyltransferase activity; acetyl-CoA C-acetyltransferase activity; acetyl-CoA C-acetyltransferase activity; acetyl-CoA C-acetyltransferase activity; C-acetyltransferase activity,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,"Fatty acid degradation - Mus musculus (mouse); Valine, leucine and isoleucine degradation - Mus musculus (mouse); Lysine degradation - Mus musculus (mouse)",Aerobic respiration and respiratory electron transport; Metabolism; Metabolism of proteins,,,PF00108; PF02803,,57.0697,Other,Other mitochondrial
ENSMUSG00000025465,True,Echs1,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial",Q8BH95,L-valine catabolic process; L-valine catabolic process; fatty acid beta-oxidation; fatty acid beta-oxidation; fatty acid beta-oxidation,catalytic activity; delta(3)-delta(2)-enoyl-CoA isomerase activity; enoyl-CoA hydratase activity; enoyl-CoA hydratase activity; enoyl-CoA hydratase activity,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial matrix,"Fatty acid elongation - Mus musculus (mouse); Fatty acid degradation - Mus musculus (mouse); Valine, leucine and isoleucine degradation - Mus musculus (mouse)",Metabolism; Metabolism of lipids; Branched-chain amino acid catabolism,,,PF00378,,53.0713,Other,Fatty acid oxidation
ENSMUSG00000027984,True,Hadh,hydroxyacyl-Coenzyme A dehydrogenase,Q61425,fatty acid metabolic process; fatty acid beta-oxidation; fatty acid beta-oxidation; fatty acid beta-oxidation; fatty acid beta-oxidation,(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity; (3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity; (3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity; (3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity; (3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity,nucleus; nucleoplasm; cytoplasm; cytoplasm; mitochondrion,"Fatty acid elongation - Mus musculus (mouse); Fatty acid degradation - Mus musculus (mouse); Valine, leucine and isoleucine degradation - Mus musculus (mouse)",Metabolism; Metabolism of proteins; Metabolism of lipids,,,PF00725; PF02737,,52.7432,Other,Fatty acid oxidation
ENSMUSG00000029545,True,Acads,"acyl-Coenzyme A dehydrogenase, short chain",Q07417,fatty acid beta-oxidation using acyl-CoA dehydrogenase; fatty acid beta-oxidation using acyl-CoA dehydrogenase; fatty acid beta-oxidation using acyl-CoA dehydrogenase; butyrate catabolic process; butyrate catabolic process,"acyl-CoA dehydrogenase activity; acyl-CoA dehydrogenase activity; acyl-CoA dehydrogenase activity; oxidoreductase activity, acting on the CH-CH group of donors; short-chain fatty acyl-CoA dehydrogenase activity",mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial matrix,"Fatty acid degradation - Mus musculus (mouse); Valine, leucine and isoleucine degradation - Mus musculus (mouse); beta-Alanine metabolism - Mus musculus (mouse)",Metabolism; Metabolism of lipids; mitochondrial fatty acid beta-oxidation of saturated fatty acids,,,PF00441; PF02770; PF02771,"This gene encodes a homotetrameric mitochondrial flavoprotein and is a member of the acyl-CoA dehydrogenase family. Members of this family catalyze the first step of fatty acid beta-oxidation, forming a C2-C3 trans-double bond in a FAD-dependent reaction. As beta-oxidation cycles through its four st",51.9462,Other,Fatty acid oxidation
ENSMUSG00000036880,True,Acaa2,acetyl-CoA acyltransferase 2,Q8BWT1,acetyl-CoA metabolic process; lipid metabolic process; fatty acid beta-oxidation; fatty acid beta-oxidation; fatty acid beta-oxidation,acetyl-CoA C-acetyltransferase activity; acetyl-CoA C-acetyltransferase activity; acetyl-CoA C-acetyltransferase activity; acetyl-CoA C-acetyltransferase activity; acetyl-CoA hydrolase activity,mitochondrion; mitochondrion; mitochondrion; mitochondrion; mitochondrial inner membrane,"Fatty acid elongation - Mus musculus (mouse); Fatty acid degradation - Mus musculus (mouse); Valine, leucine and isoleucine degradation - Mus musculus (mouse)",Metabolism; Metabolism of lipids; Mitochondrial Fatty Acid Beta-Oxidation,,,PF00108; PF02803,,51.4756,Other,Other mitochondrial
ENSMUSG00000027809,True,Etfdh,"electron transferring flavoprotein, dehydrogenase",Q921G7,response to oxidative stress; electron transport chain; electron transport chain; electron transport chain; respiratory electron transport chain,electron-transferring-flavoprotein dehydrogenase activity; electron-transferring-flavoprotein dehydrogenase activity; electron-transferring-flavoprotein dehydrogenase activity; electron-transferring-flavoprotein dehydrogenase activity; electron transfer activity,nucleoplasm; mitochondrion; mitochondrion; mitochondrion; mitochondrion,,Aerobic respiration and respiratory electron transport; Metabolism; Respiratory electron transport,,,PF05187; PF13450; PF21162,,51.4681,Other,Other mitochondrial
ENSMUSG00000020089,True,Ppa1,pyrophosphatase (inorganic) 1,Q9D819,phosphate-containing compound metabolic process; phosphate-containing compound metabolic process; phosphate-containing compound metabolic process,magnesium ion binding; inorganic diphosphate phosphatase activity; inorganic diphosphate phosphatase activity; inorganic diphosphate phosphatase activity; pyrophosphatase activity,cytoplasm; mitochondrion,Oxidative phosphorylation - Mus musculus (mouse),Metabolism; Cytosolic tRNA aminoacylation; tRNA Aminoacylation,,,PF00719,,51.3373,Other,Other mitochondrial
ENSMUSG00000026817,True,Ak1,adenylate kinase 1,Q9R0Y5,ADP biosynthetic process; ADP biosynthetic process; nucleoside triphosphate biosynthetic process; positive regulation of D-glucose transmembrane transport; AMP metabolic process,AMP kinase activity; AMP kinase activity; AMP kinase activity; AMP kinase activity; nucleoside diphosphate kinase activity,outer dense fiber; cytoplasm; cytoplasm; cytoplasm; cytosol,Purine metabolism - Mus musculus (mouse); Thiamine metabolism - Mus musculus (mouse),Metabolism; Metabolism of nucleotides; Interconversion of nucleotide di- and triphosphates,,,PF00406,,51.3373,Other,Other / non-mitochondrial
